geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
WP63	Pentose phosphate pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP63&label[]=Taldo1&label[]=Pgls&colors=steelblue	7	2	0.07578435704816615	26.390670553935863	0.0023294475737538774	0.43793614386572893	66171;21351	Taldo1;Pgls
WP2075	Alzheimer 39 s disease	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2075&label[]=Casp9&label[]=Ppp3cc&label[]=Eif2ak3&colors=steelblue	74	3	0.8011489173663279	3.744622173193602	0.04522174565904516	1	19057;12371;13666	Casp9;Ppp3cc;Eif2ak3
WP1560	MicroRNAs in cardiomyocyte hypertrophy	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1560&label[]=Lrp6&label[]=Mylk3&label[]=Fgf2&colors=steelblue	83	3	0.8985859478568272	3.3385788050159824	0.059947944006656276	1	213435;16974;14173	Lrp6;Mylk3;Fgf2
WP2910	Mecp2 and associated Rett syndrome	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2910&label[]=Mag&label[]=Fgf2&colors=steelblue	45	2	0.48718515245249666	4.105215419501134	0.08471274816358824	1	17136;14173	Mag;Fgf2
WP2432	Spinal cord injury	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2432&label[]=Mag&label[]=Cxcl1&label[]=Egr1&colors=steelblue	99	3	1.0718073353954927	2.7990105132962277	0.09091985670673307	1	13653;14825;17136	Mag;Cxcl1;Egr1
WP387	IL 6 signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP387&label[]=Casp9&label[]=Ar&label[]=Hsp90aa1&colors=steelblue	99	3	1.0718073353954927	2.7990105132962277	0.09091985670673307	1	11835;15519;12371	Casp9;Ar;Hsp90aa1
WP108	Selenium metabolism selenoproteins	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP108&label[]=Cth&label[]=Fabp1&colors=steelblue	47	2	0.5088378258948298	3.930525401650022	0.09126385468680723	1	107869;14080	Cth;Fabp1
WP307	Translation factors	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP307&label[]=Eif2ak3&label[]=Eif3i&colors=steelblue	48	2	0.5196641626159965	3.848639455782313	0.09459442650829492	1	54709;13666	Eif2ak3;Eif3i
WP2271	Macrophage markers	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2271&label[]=F3&colors=steelblue	10	1	0.10826336721166593	9.236734693877551	0.10323609117577863	1	14066	F3
WP1264	Estrogen metabolism	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1264&label[]=Gsta1&colors=steelblue	13	1	0.1407423773751657	7.1051805337519625	0.13211733659421618	1	14857	Gsta1
