geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
WP1496	Oxidative damage response	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1496&label[]=Cdkn1a&label[]=Nfkb1&label[]=Tnfrsf1b&label[]=Apaf1&label[]=Cdkn1c&label[]=Traf1&colors=steelblue	41	6	1.5037560760053026	3.9900088157508082	0.003441619208518518	0.6470244112014814	12577;21938;11783;12575;22029;18033	Cdkn1a;Nfkb1;Tnfrsf1b;Apaf1;Cdkn1c;Traf1
WP1396	GPCRs non odorant	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1396&label[]=Ntsr1&label[]=Htr2b&label[]=Mtnr1a&label[]=Adora3&label[]=Vipr1&label[]=Ptgfr&label[]=Gprc6a&label[]=Ccr7&label[]=Avpr1a&label[]=Grm6&label[]=Tas2r126&label[]=Mc5r&label[]=Htr1d&label[]=Ffar3&label[]=Ptger2&label[]=Grm5&label[]=Tacr2&label[]=Npbwr1&colors=steelblue	268	18	9.829429960229783	1.831235389318468	0.008650355422119366	0.7011162662395275	12775;226304;11542;108072;15552;17773;54140;210198;108071;15559;18216;19220;21337;387353;233080;17203;19217;22354	Ntsr1;Htr2b;Mtnr1a;Adora3;Vipr1;Ptgfr;Gprc6a;Ccr7;Avpr1a;Grm6;Tas2r126;Mc5r;Htr1d;Ffar3;Ptger2;Grm5;Tacr2;Npbwr1
WP113	TGF beta signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP113&label[]=Lef1&label[]=Tgfbr2&label[]=Stat1&label[]=Nfkb1&label[]=Mapk9&label[]=Inhba&colors=steelblue	52	6	1.9072028281042863	3.1459684893419833	0.011188025525098844	0.7011162662395275	26420;21813;16842;18033;16323;20846	Lef1;Tgfbr2;Stat1;Nfkb1;Mapk9;Inhba
WP374	Prostaglandin synthesis and regulation	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP374&label[]=Hsd11b1&label[]=Hsd11b2&label[]=Ptgfr&label[]=Ptger2&colors=steelblue	30	4	1.100309323906319	3.6353413654618474	0.02272389331337283	0.9414475248158326	15483;15484;19220;19217	Hsd11b1;Hsd11b2;Ptgfr;Ptger2
WP353	GPCRs small ligand	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP353&label[]=Mtnr1a&label[]=Ptgfr&label[]=Ptger2&colors=steelblue	18	3	0.6601855943437914	4.544176706827309	0.02636125859848531	0.9414475248158326	17773;19217;19220	Mtnr1a;Ptgfr;Ptger2
WP3663	BMP signaling pathway in eyelid development	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3663&label[]=Tgfa&label[]=Foxc2&label[]=Mapk9&colors=steelblue	20	3	0.7335395492708794	4.089759036144578	0.03491748058731395	0.9414475248158326	21802;14234;26420	Tgfa;Foxc2;Mapk9
WP2902	p53 signaling	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2902&label[]=Cdkn1a&label[]=Bbc3&label[]=Rrm2b&label[]=Gadd45b&label[]=Apaf1&label[]=Siah1b&colors=steelblue	67	6	2.4573574900574457	2.441647185757957	0.03505389720058951	0.9414475248158326	12575;17873;170770;20438;11783;382985	Cdkn1a;Bbc3;Rrm2b;Gadd45b;Apaf1;Siah1b
WP2573	Primary focal segmental glomerulosclerosis FSGS	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2573&label[]=Cdkn1a&label[]=Cd2ap&label[]=Itgb1&label[]=Cdkn1c&label[]=Plaur&label[]=Lrp5&colors=steelblue	71	6	2.604065399911622	2.3040895978279314	0.04468656458745313	0.9491472660779945	18793;12488;12577;12575;16973;16412	Cdkn1a;Cd2ap;Itgb1;Cdkn1c;Plaur;Lrp5
WP4820	GDNF RET signaling axis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4820&label[]=Foxc2&label[]=Sox11&label[]=Eya1&colors=steelblue	23	3	0.8435704816615113	3.5563122053431115	0.050097998843343636	0.9491472660779945	14048;20666;14234	Foxc2;Sox11;Eya1
WP723	Wnt signaling pathway and pluripotency	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP723&label[]=Wnt2b&label[]=Lef1&label[]=Ctnnd1&label[]=Mapk9&label[]=Dvl1&label[]=Prkd1&label[]=Lrp5&colors=steelblue	98	7	3.594343791427309	1.9475043029259897	0.06696271522909271	0.9491472660779945	13542;26420;22414;16842;18760;16973;12388	Wnt2b;Lef1;Ctnnd1;Mapk9;Dvl1;Prkd1;Lrp5
