geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
WP310	mRNA processing	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP310&label[]=Auh&label[]=Bicc1&label[]=Ddx3x&label[]=Dhx16&label[]=Dnd1&label[]=Fbl&label[]=Fus&label[]=G3bp1&label[]=Msi1&label[]=Naa38&label[]=Npm1&label[]=Pabpc4&label[]=Ppargc1a&label[]=Ppil4&label[]=Prmt2&label[]=Rbm14&label[]=Rbm22&label[]=Rbm3&label[]=Rnu1b1&label[]=Rpl37&label[]=Rpl38&label[]=Rps28&label[]=Rps4x&label[]=Sf3b1&label[]=Sf3b4&label[]=Snrpb&label[]=Snrpd3&label[]=Snu13&label[]=Srsf9&label[]=U2af1&colors=steelblue	455	30	18.79916040653999	1.5958159487571253	0.006008517048405041	0.8580823308999852	27041;67671;20638;54127;233908;108014;13205;19844;20826;19017;83675;67418;69192;230721;108121;213236;11992;66810;81898;20102;107701;78304;19652;15468;67281;14113;17690;56275;67332;18148	Auh;Bicc1;Ddx3x;Dhx16;Dnd1;Fbl;Fus;G3bp1;Msi1;Naa38;Npm1;Pabpc4;Ppargc1a;Ppil4;Prmt2;Rbm14;Rbm22;Rbm3;Rnu1b1;Rpl37;Rpl38;Rps28;Rps4x;Sf3b1;Sf3b4;Snrpb;Snrpd3;Snu13;Srsf9;U2af1
WP300	Histone modifications	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP300&label[]=Hat1&label[]=Hdac1&colors=steelblue	5	2	0.20658418029164827	9.681283422459892	0.015636201371475485	0.8580823308999852	107435;433759	Hat1;Hdac1
WP163	Cytoplasmic ribosomal proteins	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP163&label[]=Rpl10&label[]=Rpl24&label[]=Rpl27&label[]=Rpl28&label[]=Rpl37&label[]=Rpl38&label[]=Rps28&label[]=Rps4x&colors=steelblue	81	8	3.3466637207247016	2.390440351224665	0.017811784583106737	0.8580823308999852	110954;19943;20102;54127;68193;19942;67281;67671	Rpl10;Rpl24;Rpl27;Rpl28;Rpl37;Rpl38;Rps28;Rps4x
WP5056	Burn wound healing	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP5056&label[]=Flii&label[]=Lama1&label[]=Tgfbrap1&colors=steelblue	15	3	0.6197525408749448	4.840641711229946	0.021876669591229927	0.8580823308999852	16772;73122;14248	Flii;Lama1;Tgfbrap1
WP3979	mir 193a and MVP in colon cancer metastasis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3979&label[]=Caprin1&label[]=G3bp1&colors=steelblue	6	2	0.2479010163499779	8.067736185383245	0.022821338587765562	0.8580823308999852	27041;53872	Caprin1;G3bp1
WP175	Acetylcholine synthesis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP175&label[]=Chka&label[]=Pemt&colors=steelblue	7	2	0.28921785240830755	6.915202444614209	0.031090604914962974	0.8949582519328504	18618;12660	Chka;Pemt
WP431	Nuclear receptors in lipid metabolism and toxicity	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP431&label[]=Abcb11&label[]=Abcg5&label[]=Cyp4b1&label[]=Nr1i3&colors=steelblue	31	4	1.2808219178082192	3.122994652406417	0.037122969206463935	0.8949582519328504	27413;27409;12355;13120	Abcb11;Abcg5;Cyp4b1;Nr1i3
WP385	Myometrial relaxation and contraction pathways	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP385&label[]=Actb&label[]=Adcy2&label[]=Camk2b&label[]=Crcp&label[]=Gng11&label[]=Maff&label[]=Myl2&label[]=Nfkb1&label[]=Prkcd&label[]=Rgs3&label[]=Slc8a1&colors=steelblue	149	11	6.156208572691118	1.7868140544808528	0.04293197293335345	0.8949582519328504	210044;12909;66066;11461;18753;12323;20541;17133;17906;50780;18033	Actb;Adcy2;Camk2b;Crcp;Gng11;Maff;Myl2;Nfkb1;Prkcd;Rgs3;Slc8a1
WP2074	Neural crest differentiation	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2074&label[]=Dll1&label[]=Fgf8&label[]=Hdac1&label[]=Hdac10&label[]=Hdac5&label[]=Lhx2&label[]=Nfkb1&label[]=Wnt8a&colors=steelblue	99	8	4.0903667697746355	1.9558148328201803	0.050825207781931045	0.8949582519328504	13388;18033;16870;14179;433759;15184;170787;20890	Dll1;Fgf8;Hdac1;Hdac10;Hdac5;Lhx2;Nfkb1;Wnt8a
WP2902	p53 signaling	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2902&label[]=Adgrb1&label[]=Casp9&label[]=Cdk1&label[]=Cdk6&label[]=Rrm2b&label[]=Trp53&colors=steelblue	67	6	2.7682280159080865	2.167451512491021	0.05698196634532834	0.8949582519328504	22059;12571;12534;12371;107831;382985	Adgrb1;Casp9;Cdk1;Cdk6;Rrm2b;Trp53
